USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
developer          743   0.0  0.1 410788320   6624   ??  Ss    8:00PM   0:00.28 /System/Library/PrivateFrameworks/SiriSuggestionsSupport.framework/Versions/A/XPCServices/SiriSuggestionsBookkeepingService.xpc/Contents/MacOS/SiriSuggestionsBookkeepingService
developer          742   0.0  0.0 410884528   2544   ??  Ss    8:00PM   0:00.04 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/AUCrashHandlerService.xpc/Contents/MacOS/AUCrashHandlerService
developer          740   0.0  0.1 410306656   6416   ??  Ss    8:00PM   0:00.06 /System/Library/PrivateFrameworks/TextToSpeechMauiSupport.framework/Versions/A/PlugIns/MauiAUSP.appex/Contents/MacOS/MauiAUSP -AppleLanguages ("en-US")
developer          739   0.0  0.0 410253472   1824   ??  Ss    8:00PM   0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
developer          738   0.0  0.0 410261664   1824   ??  Ss    8:00PM   0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
developer          737   0.0  0.0 410253472   1824   ??  Ss    8:00PM   0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
developer          735   0.0  0.1 410306048   5920   ??  Ss    8:00PM   0:00.05 /System/Library/PrivateFrameworks/TextToSpeechKonaSupport.framework/Versions/A/PlugIns/KonaSynthesizer.appex/Contents/MacOS/KonaSynthesizer -AppleLanguages ("en-US")
developer          734   0.0  0.1 410437152   3296   ??  Ss    8:00PM   0:00.05 /System/Library/PrivateFrameworks/MacinTalk.framework/Versions/A/PlugIns/WardaSynthesizer_arm64.appex/Contents/MacOS/WardaSynthesizer_arm64 -AppleLanguages ("en-US")
developer          733   0.0  0.1 410699808   6448   ??  Ss    8:00PM   0:00.10 /System/Library/PrivateFrameworks/MacinTalk.framework/Versions/A/PlugIns/MacinTalkAUSP.appex/Contents/MacOS/MacinTalkAUSP -AppleLanguages ("en-US")
developer          732   0.0  0.1 410174368   6096   ??  Ss    8:00PM   0:00.04 /System/Library/PrivateFrameworks/TextToSpeech.framework/PlugIns/SiriAUSP.appex/Contents/MacOS/SiriAUSP -AppleLanguages ("en-US")
_fpsd              730   0.0  0.0 426921808   2368   ??  Ss    8:00PM   0:00.11 /usr/libexec/fairplaydeviceidentityd
developer          726   0.0  0.1 426927984   6512   ??  Ss    8:00PM   0:00.04 /System/Applications/Calendar.app/Contents/Extensions/CalendarIntentsExtension.appex/Contents/MacOS/CalendarIntentsExtension
developer          725   0.0  0.2 426927728  12720   ??  Ss    8:00PM   0:00.06 /System/Applications/Messages.app/Contents/Extensions/MessagesActionExtension.appex/Contents/MacOS/MessagesActionExtension
developer          720   0.0  0.2 426928784  13872   ??  S     8:00PM   0:01.19 /usr/libexec/siriknowledged
developer          719   0.0  0.1 426925776   7840   ??  S     8:00PM   0:00.29 /usr/libexec/promotedcontentd
developer          712   0.0  0.1 426925472   8224   ??  S     8:00PM   0:00.40 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
