2025-07-21 17:41:26 status unpacked sed:amd64 4.9-1
2025-07-21 17:41:26 install login:amd64 <none> 1:4.13+dfsg1-1+deb12u1
2025-07-21 17:41:26 status half-installed login:amd64 1:4.13+dfsg1-1+deb12u1
2025-07-21 17:41:26 status unpacked login:amd64 1:4.13+dfsg1-1+deb12u1
2025-07-21 17:41:26 install sysvinit-utils:amd64 <none> 3.06-4
2025-07-21 17:41:26 status half-installed sysvinit-utils:amd64 3.06-4
2025-07-21 17:41:26 status unpacked sysvinit-utils:amd64 3.06-4
2025-07-21 17:41:26 install tzdata:all <none> 2025b-0+deb12u1
2025-07-21 17:41:26 status half-installed tzdata:all 2025b-0+deb12u1
2025-07-21 17:41:26 status unpacked tzdata:all 2025b-0+deb12u1
2025-07-21 17:41:26 install util-linux-extra:amd64 <none> 2.38.1-5+deb12u3
2025-07-21 17:41:26 status half-installed util-linux-extra:amd64 2.38.1-5+deb12u3
2025-07-21 17:41:26 status unpacked util-linux-extra:amd64 2.38.1-5+deb12u3
2025-07-21 17:41:26 install util-linux:amd64 <none> 2.38.1-5+deb12u3
2025-07-21 17:41:26 status half-installed util-linux:amd64 2.38.1-5+deb12u3
2025-07-21 17:41:26 status unpacked util-linux:amd64 2.38.1-5+deb12u3
2025-07-21 17:41:26 install usr-is-merged:all <none> 37~deb12u1
2025-07-21 17:41:26 status half-installed usr-is-merged:all 37~deb12u1
2025-07-21 17:41:26 status unpacked usr-is-merged:all 37~deb12u1
2025-07-21 17:41:27 startup packages configure
2025-07-21 17:41:27 configure debian-archive-keyring:all 2023.3+deb12u2 <none>
2025-07-21 17:41:27 status unpacked debian-archive-keyring:all 2023.3+deb12u2
2025-07-21 17:41:27 status half-configured debian-archive-keyring:all 2023.3+deb12u2
2025-07-21 17:41:27 status installed debian-archive-keyring:all 2023.3+deb12u2
2025-07-21 17:41:27 configure usr-is-merged:all 37~deb12u1 <none>
2025-07-21 17:41:27 status unpacked usr-is-merged:all 37~deb12u1
2025-07-21 17:41:27 status half-configured usr-is-merged:all 37~deb12u1
2025-07-21 17:41:27 status installed usr-is-merged:all 37~deb12u1
2025-07-21 17:41:27 configure libaudit-common:all 1:3.0.9-1 <none>
2025-07-21 17:41:27 status unpacked libaudit-common:all 1:3.0.9-1
2025-07-21 17:41:27 status half-configured libaudit-common:all 1:3.0.9-1
2025-07-21 17:41:27 status installed libaudit-common:all 1:3.0.9-1
2025-07-21 17:41:27 configure libsemanage-common:all 3.4-1 <none>
2025-07-21 17:41:27 status unpacked libsemanage-common:all 3.4-1
2025-07-21 17:41:27 status half-configured libsemanage-common:all 3.4-1
2025-07-21 17:41:27 status installed libsemanage-common:all 3.4-1
2025-07-21 17:41:27 configure debconf:all 1.5.82 <none>
2025-07-21 17:41:27 status unpacked debconf:all 1.5.82
2025-07-21 17:41:27 status half-configured debconf:all 1.5.82
2025-07-21 17:41:27 status installed debconf:all 1.5.82
2025-07-21 17:41:27 configure gcc-12-base:amd64 12.2.0-14+deb12u1 <none>
2025-07-21 17:41:27 status unpacked gcc-12-base:amd64 12.2.0-14+deb12u1
2025-07-21 17:41:27 status half-configured gcc-12-base:amd64 12.2.0-14+deb12u1
2025-07-21 17:41:27 status installed gcc-12-base:amd64 12.2.0-14+deb12u1
2025-07-21 17:41:27 configure tzdata:all 2025b-0+deb12u1 <none>
2025-07-21 17:41:27 status unpacked tzdata:all 2025b-0+deb12u1
2025-07-21 17:41:27 status half-configured tzdata:all 2025b-0+deb12u1
2025-07-21 17:41:28 status installed tzdata:all 2025b-0+deb12u1
2025-07-21 17:41:28 configure ncurses-base:all 6.4-4 <none>
2025-07-21 17:41:28 status unpacked ncurses-base:all 6.4-4
2025-07-21 17:41:28 status half-configured ncurses-base:all 6.4-4
2025-07-21 17:41:28 status installed ncurses-base:all 6.4-4
2025-07-21 17:41:28 configure init-system-helpers:all 1.65.2 <none>
2025-07-21 17:41:28 status unpacked init-system-helpers:all 1.65.2
2025-07-21 17:41:28 status half-configured init-system-helpers:all 1.65.2
2025-07-21 17:41:28 status installed init-system-helpers:all 1.65.2
2025-07-21 17:41:28 configure libgcc-s1:amd64 12.2.0-14+deb12u1 <none>
2025-07-21 17:41:28 status unpacked libgcc-s1:amd64 12.2.0-14+deb12u1
2025-07-21 17:41:28 status half-configured libgcc-s1:amd64 12.2.0-14+deb12u1
2025-07-21 17:41:28 status installed libgcc-s1:amd64 12.2.0-14+deb12u1
2025-07-21 17:41:28 configure libc6:amd64 2.36-9+deb12u10 <none>
2025-07-21 17:41:28 status unpacked libc6:amd64 2.36-9+deb12u10
